stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
0141,,"Bromsgrove Rd At 2252 Bromsgrove Rd",,  43.509641, -79.639534,,,0,,America/Toronto,1
0142,,"Bromsgrove Rd At Winston Churchill Blvd",,  43.500836, -79.651050,,,0,,America/Toronto,1
0143,,"Winston Churchill Blvd At Stockholm Rd",,  43.503088, -79.654946,,,0,,America/Toronto,1
0144,,"Winston Churchill Blvd At Truscott Dr",,  43.505361, -79.657629,,,0,,America/Toronto,1
0146,,"Glen Erin Dr At Rogers Rd",,  43.543485, -79.691838,,,0,,America/Toronto,1
0147,,"Glen Erin Dr At Rolling Valley Dr",,  43.545923, -79.695536,,,0,,America/Toronto,1
0148,,"Glen Erin Dr At Folkway Dr",,  43.547261, -79.699234,,,0,,America/Toronto,1
0149,,"Dundas St At Clayhill Rd",,  43.570790, -79.627669,,,0,,America/Toronto,1
0150,,"Winston Churchill Blvd North Of Stockholm Rd",,  43.504136, -79.655999,,,0,,America/Toronto,1
0152,,"Britannia Rd E East Of Wallace St",,  43.632802, -79.668903,,,0,,America/Toronto,1
0153,,"Glen Erin Dr North Of Erin Centre Blvd",,  43.558317, -79.718261,,,0,,America/Toronto,1
0154,,"Glen Erin Dr At Middlebury Dr",,  43.560317, -79.720707,,,0,,America/Toronto,1
0155,,"Glen Erin Dr At Burnford Trail",,  43.562565, -79.722888,,,0,,America/Toronto,1
0156,,"Glen Erin Dr North Of Burnford Trail",,  43.564162, -79.725641,,,0,,America/Toronto,1
0157,,"Glen Erin Dr North Of Thomas St",,  43.566364, -79.729284,,,0,,America/Toronto,1
0158,,"Robert Speck Pky At Meadows Blvd",,  43.597760, -79.632421,,,0,,America/Toronto,1
0160,,"Glen Erin Dr At Folkway Dr",,  43.547214, -79.699792,,,0,,America/Toronto,1
0161,,"Glen Erin Dr South Of Rolling Valley Dr",,  43.545002, -79.694566,,,0,,America/Toronto,1
0162,,"Glen Erin Dr At Romark Mews Walkway",,  43.544323, -79.693405,,,0,,America/Toronto,1
0170,,"Financial Dr At Meadowvale Blvd",,  43.614491, -79.751409,,,0,,America/Toronto,1
0177,,"Kennedy Rd At Matheson Blvd",,  43.625949, -79.655023,,,0,,America/Toronto,1
0178,,"Kennedy Rd At Coopers Ave",,  43.631028, -79.661926,,,0,,America/Toronto,1
0179,,"Kennedy Rd At Coopers Ave",,  43.634119, -79.666072,,,0,,America/Toronto,1
0180,,"Kennedy Rd At Abilene Dr",,  43.637942, -79.671132,,,0,,America/Toronto,1
0181,,"Kennedy Rd At Otto Rd",,  43.643054, -79.677938,,,0,,America/Toronto,1
0182,,"Kennedy Rd At Courtneypark Dr",,  43.647645, -79.684124,,,0,,America/Toronto,1
0188,,"Old Creditview Rd At Creditview Rd",,  43.614126, -79.734587,,,0,,America/Toronto,0
0190,,"Hurontario St At Barondale Dr",,  43.616901, -79.666651,,,0,,America/Toronto,1
0191,,"Hurontario St At Barondale Dr",,  43.616916, -79.667134,,,0,,America/Toronto,1
0192,,"Erin Mills Pky At Erin Centre Blvd",,  43.562435, -79.711302,,,0,,America/Toronto,1
0193,,"Kennedy Rd At Courtneypark Dr",,  43.647824, -79.684802,,,0,,America/Toronto,1
0194,,"Kennedy Rd At Pendant Dr",,  43.643151, -79.678519,,,0,,America/Toronto,1
0196,,"Kennedy Rd At Britannia Rd",,  43.634252, -79.666676,,,0,,America/Toronto,1
0197,,"Kennedy Rd At Matheson Blvd",,  43.626165, -79.655762,,,0,,America/Toronto,1
0198,,"South Millway At Council Ring Rd",,  43.539431, -79.675996,,,0,,America/Toronto,1
0199,,"South Millway At Council Ring Rd",,  43.539453, -79.676318,,,0,,America/Toronto,1
0206,,"Old Creditview Rd At Creditview Rd",,  43.614373, -79.734929,,,0,,America/Toronto,1
0208,,"Lakeshore Rd W At Inverhouse Dr",,  43.513258, -79.627328,,,0,,America/Toronto,1
0209,,"Lakeshore Rd W West Of Clarkson Rd",,  43.515330, -79.625116,,,0,,America/Toronto,1
0210,,"Lakeshore Rd W At Clarkson Rd",,  43.517063, -79.623246,,,0,,America/Toronto,1
0211,,"Lakeshore Rd W At Meadow Wood Rd",,  43.518965, -79.621149,,,0,,America/Toronto,1
0212,,"Southdown Rd South Of Bonnymede Dr",,  43.506733, -79.624507,,,0,,America/Toronto,1
0214,,"Lakeshore Rd W At Silver Birch Trail",,  43.524021, -79.615601,,,0,,America/Toronto,1
0215,,"Lakeshore Rd W At Bexhill Rd",,  43.525309, -79.614173,,,0,,America/Toronto,1
0216,,"Lakeshore Rd W At Tennyson Ave",,  43.531717, -79.607232,,,0,,America/Toronto,1
